Name,Rank,Tuition and fees
Cardinal Stritch University,NA,NA
Carroll University,NA,NA
Carthage College,NA,NA
Columbia College of Nursing,NA,NA
Concordia University-Wisconsin,NA,NA
Edgewood College,160,"$27,530 "
Fox Valley Technical College,NA,NA
Gateway Technical College,NA,NA
Gill-Tech Academy of Hair Design,NA,NA
The Professional Hair Design Academy,NA,NA
Lakeland University,NA,NA
Lakeshore Technical College,NA,NA
Lawrence University,NA,NA
Maranatha Baptist University,NA,NA
Marian University,NA,NA
Marquette University,82,"$38,470 "
Medical College of Wisconsin,NA,NA
Mid-State Technical College,NA,NA
Milwaukee Area Technical College,NA,NA
Milwaukee Institute of Art & Design,NA,NA
Milwaukee School of Engineering,NA,NA
Moraine Park Technical College,NA,NA
Mount Mary University,NA,NA
Nashotah House,NA,NA
Nicolet Area Technical College,NA,NA
Northcentral Technical College,NA,NA
Northeast Wisconsin Technical College,NA,NA
Northland College,NA,NA
Ripon College,NA,NA
Sacred Heart Seminary and School of Theology,NA,NA
Saint Norbert College,NA,NA
Silver Lake College of the Holy Family,NA,NA
State College of Beauty Culture Inc,NA,NA
Southwest Wisconsin Technical College,NA,NA
Bryant & Stratton College-Milwaukee,NA,NA
University of Wisconsin Colleges,NA,NA
Viterbo University,NA,NA
Chippewa Valley Technical College,NA,NA
Waukesha County Technical College,NA,NA
Western Technical College,NA,NA
University of Wisconsin-Whitewater,NA,NA
Wisconsin Indianhead Technical College,NA,NA
Wisconsin School of Professional Psychology,NA,NA
Paul Mitchell the School-Green Bay,NA,NA
University of Wisconsin-Eau Claire,NA,NA
University of Wisconsin-Green Bay,NA,NA
University of Wisconsin-La Crosse,NA,NA
Wisconsin Lutheran College,NA,NA
University of Wisconsin-Oshkosh,NA,NA
University of Wisconsin-Parkside,NA,NA
Herzing University-Madison,NA,NA
University of Wisconsin-Stout,NA,NA
University of Wisconsin-Superior,NA,NA
University of Wisconsin-Madison,49,"$32,738 "
University of Wisconsin-Milwaukee,NA,NA
University of Wisconsin-Platteville,NA,NA
University of Wisconsin-River Falls,NA,NA
University of Wisconsin-Stevens Point,NA,NA
Casper College,NA,NA
Central Wyoming College,NA,NA
Eastern Wyoming College,NA,NA
Laramie County Community College,NA,NA
Northwest College,NA,NA
Sheridan College,NA,NA
Western Wyoming Community College,NA,NA
Cheeks International Academy of Beauty Culture-Cheyenne,NA,NA
Wyotech-Laramie,NA,NA
University of Wyoming,164,"$16,215 "
American Samoa Community College,NA,NA
Guam Community College,NA,NA
University of Guam,NA,NA
Northern Marianas College,NA,NA
Institute of Beauty Careers,NA,NA
Educational Technical College-Recinto de Bayamon,NA,NA
American University of Puerto Rico,NA,NA
American University of Puerto Rico,NA,NA
American Educational College,NA,NA
Antilles School of Technical Careers,NA,NA
Universidad Adventista de las Antillas,NA,NA
Atlantic University College,NA,NA
Universidad Central de Bayamon,NA,NA
Columbia Central University-Caguas,NA,NA
Carlos Albizu University-San Juan,NA,NA
Caribbean University-Bayamon,NA,NA
Caribbean University-Carolina,NA,NA
Pontifical Catholic University of Puerto Rico-Arecibo,NA,NA
Pontifical Catholic University of Puerto Rico-Ponce,NA,NA
CEM College-San Juan,NA,NA
Universidad Teologica del Caribe,NA,NA
Colegio Universitario de San Juan,NA,NA
Universidad Metropolitana,NA,NA
Puerto Rico Conservatory of Music,NA,NA
Center for Advanced Studies On Puerto Rico and the Caribbean,NA,NA
EDP University of Puerto Rico Inc-San Sebastian,NA,NA
Emma's Beauty Academy-Mayaguez,NA,NA
Escuela de Artes Plasticas y Diseno de Puerto Rico,NA,NA
Instituto Tecnologico de Puerto Rico-Recinto de Manati,NA,NA
Huertas College,NA,NA
Humacao Community College,NA,NA
ICPR Junior College-Arecibo,NA,NA
ICPR Junior College-Mayaguez,NA,NA
Instituto de Educacion Tecnica Ocupacional La Reine-Manati,NA,NA
Richport Technical College,NA,NA
Instituto de Banca y Comercio Inc,NA,NA
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,NA,NA
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,NA,NA
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,NA,NA
Inter American University of Puerto Rico-San German,NA,NA
Inter American University of Puerto Rico-Aguadilla,NA,NA
Inter American University of Puerto Rico-Arecibo,NA,NA
Inter American University of Puerto Rico-Barranquitas,NA,NA
Inter American University of Puerto Rico-Metro,NA,NA
Inter American University of Puerto Rico-Ponce,NA,NA
Inter American University of Puerto Rico-Fajardo,NA,NA
Inter American University of Puerto Rico-Guayama,NA,NA
Inter American University of Puerto Rico-Bayamon,NA,NA
Inter American University of Puerto Rico-School of Law,NA,NA
International Technical College,NA,NA
Liceo de Arte y Tecnologia,NA,NA
Modern Hairstyling Institute-Bayamon,NA,NA
Modern Hairstyling Institute-Arecibo,NA,NA
National University College,NA,NA
National University College-Arecibo,NA,NA
Ponce Paramedical College Inc,NA,NA
Ponce Health Sciences University,NA,NA
University of Puerto Rico-Aguadilla,NA,NA
University of Puerto Rico-Arecibo,NA,NA
University of Puerto Rico-Bayamon,NA,NA
University of Puerto Rico-Carolina,NA,NA
University of Puerto Rico-Cayey,NA,NA
University of Puerto Rico-Humacao,NA,NA
University of Puerto Rico-Utuado,NA,NA
University of Puerto Rico-Mayaguez,NA,NA
University of Puerto Rico-Medical Sciences,NA,NA
University of Puerto Rico-Ponce,NA,NA
University of Puerto Rico-Rio Piedras,NA,NA
Universidad del Este,NA,NA
Universidad del Sagrado Corazon,NA,NA
Seminario Evangelico de Puerto Rico,NA,NA
Universidad Central Del Caribe,NA,NA
Universidad Politecnica de Puerto Rico,NA,NA
Pontifical Catholic University of Puerto Rico-Mayaguez,NA,NA
Universidad del Turabo,NA,NA
College of Micronesia-FSM,NA,NA
Palau Community College,NA,NA
University of the Virgin Islands,NA,NA
Stanford University,5,"$47,940 "
Purdue University-Main Campus,NA,NA
Blue Hills Regional Technical School,NA,NA
Parker University,NA,NA
EDP University of Puerto Rico Inc-San Juan,NA,NA
ICPR Junior College-General Institutional,NA,NA
City College-Fort Lauderdale,NA,NA
Meridian College,NA,NA
Georgia State University-Perimeter College,NA,NA
Georgia Piedmont Technical College,NA,NA
Cortiva Institute-Chicago,NA,NA
ETI School of Skilled Trades,NA,NA
Trend Setters' Academy of Beauty Culture-Elizabethtown,NA,NA
Traxlers School of Hair,NA,NA
Jones Hair Design College,NA,NA
Vatterott College-Berkeley,NA,NA
Metro Business College-Rolla,NA,NA
Metro Business College-Jefferson City,NA,NA
Warren County Community College,NA,NA
St. John's College,NA,NA
Yeshiva and Kollel Harbotzas Torah,NA,NA
Bais Medrash Elyon,NA,NA
Antioch University-Los Angeles,NA,NA
Antioch University-Santa Barbara,NA,NA
Antioch University-New England,NA,NA
Antioch University-Seattle,NA,NA
Antioch University-Midwest,NA,NA
Mid-America Christian University,NA,NA
Platt College-Tulsa,NA,NA
Ponca City Beauty College,NA,NA
Francis Tuttle Technology Center,NA,NA
Central Technology Center,NA,NA
Carrington College-Portland,NA,NA
Career Technology Center of Lackawanna County,NA,NA
Brightwood College-Nashville,NA,NA
Brightwood College-El Paso,NA,NA
Houston Graduate School of Theology,NA,NA
Palo Alto College,NA,NA
Sebring Career Schools-Huntsville,NA,NA
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,NA,NA
Central Texas Beauty College-Round Rock,NA,NA
Unification Theological Seminary,NA,NA
Athens Technical College,NA,NA
GateWay Community College-Central City,NA,NA
Carrington College-San Leandro,NA,NA
Headmasters School of Hair Design,NA,NA
The Salon Professional Academy,NA,NA
Beckfield College-Florence,NA,NA
Dorsey Business Schools-Wayne,NA,NA
Ecumenical Theological Seminary,NA,NA
Ross Medical Education Center-Saginaw,NA,NA
Sussex County Community College,NA,NA
Landmark College,NA,NA
National American University-Independence,NA,NA
Yeshiva Gedolah of Greater Detroit,NA,NA
Austin Graduate School of Theology,NA,NA
Collin County Community College District,NA,NA
Owensboro Community and Technical College,NA,NA
Jenny Lea Academy of Cosmetology,NA,NA
Empire Beauty School-Hurstborne,NA,NA
Cloyd's Beauty School 3 Inc,NA,NA
Moore Norman Technology Center,NA,NA
Fayette County Career & Technical Institute Practical Nursing Program,NA,NA
Franklin County Career and Technology Center,NA,NA
Paul Mitchell the School-Knoxville,NA,NA
Ogle School Hair Skin Nails-Hurst,NA,NA
FIDM-Fashion Institute of Design & Merchandising-San Diego,NA,NA
National American University-Albuquerque,NA,NA
Tennessee College of Applied Technology Nashville,NA,NA
ECPI University,NA,NA
Branford Hall Career Institute-Jersey City,NA,NA
Paul Mitchell the School-Houston,NA,NA
TDDS Technical Institute,NA,NA
Fortis Institute-Forty Fort,NA,NA
Laurel Business Institute,NA,NA
Antonelli Medical and Professional Institute,NA,NA
Aviation Institute of Maintenance-Philadelphia,NA,NA
Carrington College-Phoenix East,NA,NA
Dorsey Business Schools-Roseville,NA,NA
Moler-Pickens Beauty Academy,NA,NA
Red River Technology Center,NA,NA
Brightwood Career Institute-Harrisburg,NA,NA
Southern Union State Community College,NA,NA
South University-Columbia,NA,NA
Everest University-Brandon,NA,NA
Clinton Technical School,NA,NA
Consolidated School of Business-Lancaster,NA,NA
Greene County Career and Technology Center,NA,NA
Lac Courte Oreilles Ojibwa Community College,NA,NA
Diesel Driving Academy-Shreveport,NA,NA
Pima Medical Institute-Mesa,NA,NA
Platt College-Los Angeles,NA,NA
Platt College-Aurora,NA,NA
Kaplan University-Davenport Campus,NA,NA
Kaplan University-Cedar Falls Campus,NA,NA
Paul Mitchell the School-Boise,NA,NA
Christian Life College,NA,NA
Educators of Beauty College of Cosmetology-Rockford,NA,NA
Northwestern College-Southwestern Campus,NA,NA
Douglas J Aveda Institute,NA,NA
Ross Medical Education Center-Brighton,NA,NA
Ross Medical Education Center-Ann Arbor,NA,NA
Taylortown School of Beauty Inc,NA,NA
Pike-Lincoln Technical Center,NA,NA
Pennsylvania Institute of Health and Technology,NA,NA
Bethel Seminary-San Diego,NA,NA
St Charles Community College,NA,NA
Brandman University,NA,NA
New College of Florida,NA,NA
Le Cordon Bleu College of Culinary Arts-Scottsdale,NA,NA
Conservatory of Recording Arts and Sciences,NA,NA
Adrian's College of Beauty Turlock,NA,NA
California Career School,NA,NA
Rolf Institute of Structural Integration,NA,NA
Sunstate Academy,NA,NA
Elizabeth Grady School of Esthetics and Massage Therapy,NA,NA
Ross Medical Education Center-Port Huron,NA,NA
Capri Institute of Hair Design-Clifton,NA,NA
Raphael's School of Beauty Culture Inc-Alliance,NA,NA
Metro Technology Centers,NA,NA
Daymar College-Bowling Green,NA,NA
Altierus Career College Everett,NA,NA
Luna Community College,NA,NA
Grabber School of Hair Design,NA,NA
Yeshivah Gedolah Rabbinical College,NA,NA
University of the District of Columbia-David A Clarke School of Law,NA,NA
Raphael's School of Beauty Culture Inc-Brunswick,NA,NA
Caribbean University-Ponce,NA,NA
Caribbean University-Vega Baja,NA,NA
University of Advancing Technology,NA,NA
Paradise Valley Community College,NA,NA
Chandler-Gilbert Community College,NA,NA
HSHS St. John's Hospital School of Clinical Laboratory Science,NA,NA
Madison Media Institute,NA,NA
Great Plains Technology Center,NA,NA
Roane-Jackson Technical Center,NA,NA
Pioneer Technology Center,NA,NA
Portage Lakes Career Center,NA,NA
Eastern College of Health Vocations-New Orleans,NA,NA
Bell Mar Beauty College,NA,NA
Caddo Kiowa Technology Center,NA,NA
Brightwood College-San Antonio-San Pedro,NA,NA
Center for Instruction Technology & Innovation (CiTi),NA,NA
Le Cordon Bleu College of Culinary Arts-Austin,NA,NA
The Art Institute of New York City,NA,NA
International School of Skin Nailcare & Massage Therapy,NA,NA
Palomar Institute of Cosmetology,NA,NA
Southern Oklahoma Technology Center,NA,NA
Vista College,NA,NA
Autry Technology Center,NA,NA
Greene County Vocational School District,NA,NA
Canadian Valley Technology Center,NA,NA
Wilkes-Barre Area Career and Technical Center Practical Nursing,NA,NA
Mayo Clinic Graduate School of Biomedical Sciences,NA,NA
Meridian Technology Center,NA,NA
Waynesville Career Center,NA,NA
Capitol School of Hairstyling and Esthetics,NA,NA
Morris County Vocational School District,NA,NA
Ross Medical Education Center-Roosevelt Park,NA,NA
Ross Medical Education Center-Kentwood,NA,NA
South Florida Bible College and Theological Seminary,NA,NA
Cloyd's Barber School 2 Inc,NA,NA
Universal Technical Institute of Illinois Inc,NA,NA
Pennsylvania College of Technology,NA,NA
Commonwealth Institute of Funeral Service,NA,NA
Delta College of Arts & Technology,NA,NA
InterCoast Colleges-Anaheim,NA,NA
Stone Child College,NA,NA
New York Academy of Art,NA,NA
Suffolk County Community College,NA,NA
Las Positas College,NA,NA
Blades School of Hair Design,NA,NA
Ogeechee Technical College,NA,NA
Remington College-Mobile Campus,NA,NA
Southern Technical College,NA,NA
Mercy-St Luke's School of Radiologic Technology,NA,NA
Southwest Acupuncture College-Santa Fe,NA,NA
Northwest Technology Center-Alva,NA,NA
Mercer County Career Center,NA,NA
California State University-San Marcos,NA,NA
Argosy University-Hawaii,NA,NA
Baptist Theological Seminary at Richmond,NA,NA
Brightwood College-Modesto,NA,NA
Kaplan University-Des Moines Campus,NA,NA
Hairmasters Institute of Cosmetology,NA,NA
Tricoci University of Beauty Cuture LLC-Bloomington,NA,NA
Pinnacle Career Institute-Lawrence,NA,NA
Interactive College of Technology-Newport,NA,NA
McCann School of Business & Technology,NA,NA
Ross Medical Education Center-Taylor,NA,NA
McNally Smith College of Music,NA,NA
National Tractor Trailer School Inc-Liverpool,NA,NA
Interactive College of Technology,NA,NA
Butler Beauty Academy-New Castle Beauty Academy,NA,NA
NorthWest Arkansas Community College,NA,NA
Colorado Heights University,NA,NA
Brewster Technical College,NA,NA
Hodges University,NA,NA
Argosy University-Atlanta,NA,NA
University of St. Augustine for Health Sciences,NA,NA
Capital Area School of Practical Nursing,NA,NA
Hair Professionals Career College,NA,NA
Alexandria School of Scientific Therapeutics,NA,NA
Empire Beauty School-Bloomfield,NA,NA
Southwest Technology Center,NA,NA
Western Area Career & Technology Center,NA,NA
Daymar College-Clarksville,NA,NA
Nossi College of Art,NA,NA
Seguin Beauty School-New Braunfels,NA,NA
Pima Medical Institute-Seattle,NA,NA
Mineral County Vocational Technical Center,NA,NA
Hypnosis Motivation Institute,NA,NA
Los Angeles ORT College-Los Angeles Campus,NA,NA
Thanh Le College School of Cosmetology,NA,NA
Southeastern Technical College,NA,NA
Massachusetts School of Law,NA,NA
Community Services Division-Alliance City,NA,NA
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,NA,NA
Erwin Technical College,NA,NA
Rosel School of Cosmetology,NA,NA
Worsham College of Mortuary Science,NA,NA
Bryan University,NA,NA
Oregon College of Oriental Medicine,NA,NA
Central Pennsylvania Institute of Science and Technology,NA,NA
Northwest Educational Center,NA,NA
Sebring Career Schools-Houston,NA,NA
PCI Health Training Center,NA,NA
Miami-Jacobs Career College-Columbus,NA,NA
Bryant & Stratton College-Eastlake,NA,NA
Hamrick School,NA,NA
Alabama State College of Barber Styling,NA,NA
Fortis College,NA,NA
Downey Adult School,NA,NA
CRU Institute of Cosmetology and Barbering,NA,NA
Modern Technology School,NA,NA
National Career Education,NA,NA
Thuy Princess Beauty College,NA,NA
North-West College-Glendale,NA,NA
Fremont College,NA,NA
Pomona Unified School District Adult and Career Education,NA,NA
IBMC College,NA,NA
Xenon International Academy-Denver,NA,NA
Academy of Cosmetology,NA,NA
Sunstate Academy,NA,NA
Fortis College-Smyrna,NA,NA
Remington College-Honolulu Campus,NA,NA
Vatterott College-Des Moines,NA,NA
Ross College-Quad Cities,NA,NA
Pivot Point Academy,NA,NA
Blalock's Professional Beauty College,NA,NA
Diesel Driving Academy-Baton Rouge,NA,NA
New England Hair Academy,NA,NA
Rob Roy Academy-Worcester,NA,NA
Upper Cape Cod Regional Technical School,NA,NA
All-State Career-Baltimore,NA,NA
Adler Graduate School,NA,NA
Academy of Hair Design-Jackson,NA,NA
KC's School of Hair Design,NA,NA
Lincoln Technical Institute-Moorestown,NA,NA
Monmouth County Vocational School District,NA,NA
Brightwood College-Las Vegas,NA,NA
Beauty School of Middletown,NA,NA
Bryant & Stratton College-Southtowns,NA,NA
Continental School of Beauty Culture-Olean,NA,NA
National Tractor Trailer School Inc-Buffalo,NA,NA
Yeshiva Gedolah Imrei Yosef D'spinka,NA,NA
Cleveland Institute of Dental-Medical Assistants-Mentor,NA,NA
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,NA,NA
Knox County Career Center,NA,NA
Madison Adult Career Center,NA,NA
Remington College-Cleveland Campus,NA,NA
Brown Mackie College-Findlay,NA,NA
Toledo Academy of Beauty Culture-East,NA,NA
U S Grant Joint Vocational School,NA,NA
Chisholm Trail Technology Center,NA,NA
Gordon Cooper Technology Center,NA,NA
Kiamichi Technology Center-Atoka,NA,NA
Kiamichi Technology Center-Durant,NA,NA
Kiamichi Technology Center-Hugo,NA,NA
Kiamichi Technology Center-McAlester,NA,NA
Kiamichi Technology Center-Idabel,NA,NA
Kiamichi Technology Center-Poteau,NA,NA
Kiamichi Technology Center-Spiro,NA,NA
Kiamichi Technology Centers-Talihina Campus,NA,NA
Le Cordon Bleu College of Culinary Arts-Portland,NA,NA
YTI Career Institute-Altoona,NA,NA
Eastern Center for Arts and Technology,NA,NA
Empire Beauty School-Center City Philadelphia,NA,NA
CEM College-Humacao,NA,NA
Colegio Mayor de Tecnologia Inc,NA,NA
Institucion Chaviano de Mayaguez,NA,NA
EDIC College,NA,NA
Liceo de Arte-Dise-O y Comercio,NA,NA
Universal Technology College of Puerto Rico,NA,NA
Academy of Hair Technology,NA,NA
Mr Wayne's School of Unisex Hair Design,NA,NA
Queen City College,NA,NA
College of the Marshall Islands,NA,NA
Remington College-Fort Worth Campus,NA,NA
UCAS University of Cosmetology Arts & Sciences,NA,NA
School of Automotive Machinists & Technology,NA,NA
SW School of Business and Technical Careers-Cosmetology,NA,NA
SW School of Business and Technical Careers,NA,NA
Texas College of Cosmetology-Abilene,NA,NA
Vista College-Online,NA,NA
Centura College-Newport News,NA,NA
Centura College-Norfolk,NA,NA
Virginia Beach City Public Schools School of Practical Nursing,NA,NA
Northwest College of Art & Design,NA,NA
University of Washington-Bothell Campus,NA,NA
University of Washington-Tacoma Campus,NA,NA
Valley College-Beckley,NA,NA
Valley College-Martinsburg,NA,NA
Valley College-Princeton,NA,NA
Bellus Academy-Poway,NA,NA
Capstone College,NA,NA
Central Coast College,NA,NA
Pacific College of Oriental Medicine-San Diego,NA,NA
Artistic Nails and Beauty Academy-Tampa,NA,NA
National Aviation Academy of Tampa Bay,NA,NA
Madison Oneida BOCES-Practical Nursing Program,NA,NA
Astrodome Career Centers,NA,NA
Center for Advanced Legal Studies,NA,NA
Houston Training School-Main Campus,NA,NA
Bay Mills Community College,NA,NA
Fond du Lac Tribal and Community College,NA,NA
Northwest Indian College,NA,NA
Provo College,NA,NA
Paul Mitchell the School-Provo,NA,NA
University of Phoenix-Utah,NA,NA
Utah College of Massage Therapy-Salt Lake City,NA,NA
CET-Coachella,NA,NA
CET-Oxnard,NA,NA
CET-Santa Maria,NA,NA
Colorado School of Traditional Chinese Medicine,NA,NA
Massage Therapy Institute of Colorado,NA,NA
Michigan College of Beauty-Troy,NA,NA
Ogle School Hair Skin Nails-Dallas,NA,NA
Phoenix Seminary,NA,NA
Faust Institute of Cosmetology-Spirit Lake,NA,NA
Seattle Vocational Institute,NA,NA
Cheeks International Academy of Beauty Culture-Fort Collins,NA,NA
Colorado School of Healing Arts,NA,NA
Healing Arts Institute,NA,NA
Los Angeles ORT College-Van Nuys Campus,NA,NA
University of Phoenix-Puerto Rico,NA,NA
Mt. Diablo Adult Education-Mt. Diablo USD,NA,NA
Royale College of Beauty and Barbering,NA,NA
Greater Lowell Technical School,NA,NA
Academy of Hair Design-Pearl,NA,NA
King's College,NA,NA
Miller-Motte Technical College-Clarksville,NA,NA
Genesis Career College-Lebanon,NA,NA
Brightwood College-Dallas,NA,NA
Star College of Cosmetology 2,NA,NA
Southwest Collegiate Institute for the Deaf,NA,NA
Fortis College-Richmond,NA,NA
Midwest College of Oriental Medicine-Racine,NA,NA
Hacienda La Puente Adult Education,NA,NA
La Belle Beauty Academy,NA,NA
Advanced Technical Centers,NA,NA
Hawaii Community College,NA,NA
Robert Fiance Beauty Schools-North Plainfield,NA,NA
Long Island Beauty School-Hauppauge,NA,NA
Buckeye Joint Vocational School,NA,NA
Sandusky Career Center,NA,NA
Greater Altoona Career & Technology Center,NA,NA
Central Texas Beauty College-Temple,NA,NA
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NA,NA
Empire Beauty School-Brooklyn,NA,NA
Houston Training School-Gulfgate,NA,NA
Antonelli College-Hattiesburg,NA,NA
Eastern New Mexico University-Ruidoso Campus,NA,NA
United Education Institute-Ontario,NA,NA
United Education Institute-Encino,NA,NA
Beacon College,NA,NA
Acupuncture and Integrative Medicine College-Berkeley,NA,NA
Estrella Mountain Community College,NA,NA
Heartland Community College,NA,NA
University of the Potomac-Washington DC Campus,NA,NA
Rabbi Jacob Joseph School,NA,NA
The Salon Professional Academy-Melbourne,NA,NA
Fortis Institute-Scranton,NA,NA
Milan Institute of Cosmetology-Amarillo,NA,NA
Everglades University,NA,NA
Seminar L'moros Bais Yaakov,NA,NA
Herzing University-Winter Park,NA,NA
Fairview Beauty Academy,NA,NA
Florida College of Natural Health-Pompano Beach,NA,NA
National College-Nashville,NA,NA
College of Biblical Studies-Houston,NA,NA
Inner State Beauty School,NA,NA
Virginia College-Pensacola,NA,NA
Mid-EastCTC-Adult Education,NA,NA
Everest University-South Orlando,NA,NA
Polaris Career Center,NA,NA
P&A Scholars Beauty School,NA,NA
ASM Beauty World Academy,NA,NA
Sharps Academy of Hair Styling,NA,NA
The College of Health Care Professions-Northwest,NA,NA
School of Professional Horticulture New York Botanical Garden,NA,NA
Fortis College-Houston,NA,NA
Watkins College of Art Design & Film,NA,NA
Chicago ORT Technical Institute,NA,NA
Alhambra Beauty College,NA,NA
UEI College-Gardena,NA,NA
Asian-American International Beauty College,NA,NA
Avance Beauty College,NA,NA
Colton-Redlands-Yucaipa Regional Occupational Program,NA,NA
Copper Mountain Community College,NA,NA
Diversified Vocational College,NA,NA
UEI College-Fresno,NA,NA
Mt Sierra College,NA,NA
Santiago Canyon College,NA,NA
Southern California Institute of Technology,NA,NA
Soka University of America,NA,NA
Summit College,NA,NA
Advance Beauty College,NA,NA
World Mission University,NA,NA
Yo San University of Traditional Chinese Medicine,NA,NA
Cannella School of Hair Design-Blue Island,NA,NA
John Amico School of Hair Design,NA,NA
Delta College Inc,NA,NA
Southwest University of Visual Arts-Albuquerque,NA,NA
Tri-State Cosmetology Institute,NA,NA
Frontier Community College,NA,NA
Lincoln Trail College,NA,NA
Wabash Valley College,NA,NA
American Institute of Interior Design,NA,NA
Brookline College-Tempe,NA,NA
Inter American University of Puerto Rico-School of Optometry,NA,NA
Schiller International University,NA,NA
Vatterott College-Springfield,NA,NA
Vatterott College-Joplin,NA,NA
Vatterott College-Kansas City,NA,NA
Coconino Community College,NA,NA
Emma's Beauty Academy-Juana Diaz,NA,NA
Franklin Academy,NA,NA
Columbia Central University-Yauco,NA,NA
Pima Medical Institute-Denver,NA,NA
ASA College,NA,NA
Ohio State School of Cosmetology-Heath,NA,NA
Nationwide Beauty Academy,NA,NA
Yeshivas Novominsk,NA,NA
Southern Careers Institute-Corpus Christi,NA,NA
Kiamichi Technology Center-Stigler,NA,NA
Rabbinical College of Ohr Shimon Yisroel,NA,NA
Carroll Community College,NA,NA
University of Phoenix-New Mexico,NA,NA
Galen College of Nursing-Tampa Bay,NA,NA
Galen College of Nursing-San Antonio,NA,NA
Sarasota School of Massage Therapy,NA,NA
Schuyler Steuben Chemung Tioga Allegany BOCES,NA,NA
DCI Career Institute,NA,NA
Central Susquehanna Intermediate Unit LPN Career,NA,NA
Myotherapy College of Utah,NA,NA
Graham Webb International Academy of Hair,NA,NA
City College-Gainesville,NA,NA
Arizona State University-West,NA,NA
Connecticut Center for Massage Therapy-Westport,NA,NA
G Skin & Beauty Institute,NA,NA
Cosmetology Training Center,NA,NA
Stage One-The Hair School,NA,NA
Empire Beauty School-Malden,NA,NA
Omaha School of Massage and Healthcare of Herzing University,NA,NA
Xenon International Academy-Omaha,NA,NA
Capri Institute of Hair Design-Brick,NA,NA
Capri Institute of Hair Design-Kenilworth,NA,NA
Capri Institute of Hair Design-Paramus,NA,NA
Orlo School of Hair Design and Cosmetology,NA,NA
Eastland-Fairfield Career and Technical Schools,NA,NA
Empire Beauty School-Cincinnati,NA,NA
Mahoning County Career and Technical Center,NA,NA
Pickaway Ross Joint Vocational School District,NA,NA
Pioneer Career and Technology Center,NA,NA
Raphael's School of Beauty Culture Inc-Boardman,NA,NA
Scioto County Career Technical Center,NA,NA
Trumbull Career & Technical Center,NA,NA
Northwest Technology Center-Fairview,NA,NA
Lake Erie College of Osteopathic Medicine,NA,NA
UCAS University of Cosmetology Arts & Sciences-Harlingen,NA,NA
Gene Juarez Academy of Beauty-Federal Way,NA,NA
Empire Beauty School-Green Bay,NA,NA
Warren County Career Center,NA,NA
Brown Mackie College-Fort Wayne,NA,NA
Paul Mitchell the School-Wichita,NA,NA
Pinnacle Institute of Cosmetology,NA,NA
Career Training Academy-Monroeville,NA,NA
Southern Careers Institute-Pharr,NA,NA
Laurel Technical Institute,NA,NA
Florida National University-Main Campus,NA,NA
Georgia Institute of Cosmetology,NA,NA
Nouvelle Institute,NA,NA
Franklin Technology-MSSU,NA,NA
Professional Technical Institution Inc,NA,NA
Erikson Institute,NA,NA
South Texas College,NA,NA
Lorain County Joint Vocational School District,NA,NA
Roger Williams University School of Law,NA,NA
California State University-Monterey Bay,NA,NA
Brown Mackie College-Atlanta,NA,NA
Bryant & Stratton College-Henrietta,NA,NA
Argosy University-The Art Institute of California-Hollywood,NA,NA
Ohio Media School-Valley View,NA,NA
EINE Inc,NA,NA
Marian Health Careers Center-Los Angeles Campus,NA,NA
Cleveland Clinic Health System-School of Diagnostic Imaging,NA,NA
National Institute of Massotherapy,NA,NA
Academy for Nursing and Health Occupations,NA,NA
Shawsheen Valley School of Practical Nursing,NA,NA
Shear Ego International School of Hair Design,NA,NA
Remington College-Memphis Campus,NA,NA
Fayette Institute of Technology,NA,NA
Professional Beauty School,NA,NA
Capella University,NA,NA
College of Menominee Nation,NA,NA
Leech Lake Tribal College,NA,NA
Spartan College of Aeronautics & Technology,NA,NA
Stone Academy-Waterbury,NA,NA
East San Gabriel Valley Regional Occupational Program,NA,NA
Yukon Beauty College Inc,NA,NA
United Education Institute-Morrow,NA,NA
Toni & Guy Hairdressing Academy-Atlanta,NA,NA
Mitchell's Hair Styling Academy-Raleigh,NA,NA
Salon Academy,NA,NA
Artistic Academy of Hair Design,NA,NA
Motoring Technical Training Institute,NA,NA
Phagans Newport Academy of Cosmetology Careers,NA,NA
Mech-Tech College,NA,NA
Baldwin Beauty School-North Austin,NA,NA
Jean Madeline Aveda Institute,NA,NA
Pacific College of Oriental Medicine-New York,NA,NA
Johnson & Wales University-North Miami,NA,NA
Tricoci University of Beauty Culture-Indianapolis,NA,NA
Trine University-Regional/Non-Traditional Campuses,NA,NA
Pennsylvania Highlands Community College,NA,NA
Nevada Career Institute,NA,NA
Phillips Theological Seminary,NA,NA
Empire Beauty School-Hanover,NA,NA
Industrial Management Training Institute,NA,NA
Faris Technical Institute Inc,NA,NA
Allen School-Jamaica,NA,NA
Premiere Career College,NA,NA
Tennessee Academy of Cosmetology-Stage Road,NA,NA
The University of Texas MD Anderson Cancer Center,NA,NA
Paul Mitchell the School-Huntsville,NA,NA
Estes Institute of Cosmetology Arts and Science,NA,NA
Baldwin Park Adult & Community Education,NA,NA
